timestamp,tx_id,creatorid,activity_name,function_args,endorsers_id,tx_status,readkeys,writekeys,rangekeys,transaction_type,block number,commit order,0
2021-08-26T14:50:19.049Z,f48aafb585c3fa83c117320195caadb339242500d94651d81012cb574114f7a0,Org1MSP,play,006060631,Org1MSP Org2MSP ,VALID, 006060631 86441223, 86441223,,UT,9,65,0
2021-08-26T14:50:19.050Z,2e6f07276fb240ce9394e88bf10668303a0c0f6fcb0eed67b4ff09e413d7928a,Org1MSP,play,228502128,Org1MSP Org2MSP ,VALID, 228502128 42188171, 42188171,,UT,9,41,0
2021-08-26T14:50:19.051Z,48ea5c9bf2c2725c72f5b37a8f7c4e9ddcf80a8f1f719cfbdf7c1459d6d6134e,Org1MSP,queryRightHolders,006060631,Org1MSP Org2MSP ,VALID, 006060631 86441223,,,RT,9,22,0
2021-08-26T14:50:19.051Z,bdc0b2c5aea7407cbad8cda7f96ca30ffae624e5e550e781cd377eccfa671487,Org1MSP,viewMetaData,425437510,Org1MSP Org2MSP ,VALID, 425437510,,,RT,9,25,0
2021-08-26T14:50:19.051Z,042277df1e76d6d5534b21044f575e928f45161b293a9d84249b5708b5d1457a,Org1MSP,play,318444021,Org1MSP Org2MSP ,VALID, 318444021 82086251, 82086251,,UT,9,39,0
2021-08-26T14:50:19.052Z,1832994d909250d9054d56ae631ae2662d535f7e8b4bf213925bd8219f08539c,Org1MSP,play,617476584,Org1MSP Org2MSP ,VALID, 00358025 617476584, 00358025,,UT,9,40,0
2021-08-26T14:50:19.053Z,fa64e5f29a5318e51b29e3bc4a6032b48f71186be079a062b0a505bea8cfcc4e,Org1MSP,play,228502128,Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 228502128 42188171, 42188171,,UT,9,61,0
2021-08-26T14:50:19.054Z,d546e373eec0dceb6cc9176034f783ecb7f3001cf314b9b35cea779381156047,Org1MSP,play,228502128,Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 228502128 42188171, 42188171,,UT,9,74,0
2021-08-26T14:50:19.055Z,a9eb351b921ed2107aae8971d306c0ba540e17fa4855cccfd9159f45fdabe32a,Org1MSP,queryRightHolders,228502128,Org1MSP Org2MSP ,VALID, 228502128 42188171,,,RT,9,23,0
2021-08-26T14:50:19.060Z,6d5b868654418385fd809d2a9d3c708c31729d16d575374dba339218bb397f12,Org1MSP,play,313655317,Org1MSP Org2MSP ,VALID, 313655317 32853157, 32853157,,UT,9,62,0
2021-08-26T14:50:19.077Z,b2b94de12782b22ae6e451e3388b901af0db015046e1a32be0a8e58563be0167,Org1MSP,play,656451353,Org1MSP Org2MSP ,VALID, 23563066 656451353, 23563066,,UT,9,67,0
2021-08-26T14:50:19.078Z,b1b59c88b94e894ea30cfb4e9ec675175fdad8727fd53e76d7908b0d719a2457,Org1MSP,play,228502128,Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 228502128 42188171, 42188171,,UT,9,73,0
