timestamp,tx_id,creatorid,activity_name,function_args,endorsers_id,tx_status,readkeys,writekeys,rangekeys,transaction_type,block number,commit order,0
2022-03-31T11:25:27.434Z,abc6649c2f325903f9ce2c75ca8af70b8e420123b7b4074e8a3424531354cd61,Org1MSP,revokeEHRAccess,330221653,Org1MSP Org2MSP ,VALID, 330221653 42307840, 330221653 42307840,,UT,7,21,0
2022-03-31T11:25:27.436Z,80e318e30f7d451d73fc9de5a4e8787b8336911171dd2b3dadd991472ebffd7f,Org1MSP,revokeProfileAccess,662653385,Org1MSP Org2MSP ,VALID, 662653385, 662653385,,UT,7,20,0
2022-03-31T11:25:27.436Z,c41533bc512c02c6e0d1378c0ed9571cee4eca913e538bcb9e1e30a94b7c585a,Org1MSP,grantEHRAccess,331578106,Org1MSP Org2MSP ,VALID, 331578106 64156050, 331578106 64156050,,UT,7,25,0
2022-03-31T11:25:27.437Z,9b8b9853d7b94aa58a13829b74460d1228933b58eaf8670472d6c252476cfdc8,Org1MSP,addEHR,843810621,Org1MSP Org2MSP ,VALID, 77725500 843810621, 77725500 843810621,,UT,7,26,0
2022-03-31T11:25:27.438Z,7d23bfd5bc107cd2646a40de23d3f563f5e916e2a815ca17b13ec94c6ed1bf0a,Org1MSP,grantProfileAccess,876343112,Org1MSP Org2MSP ,VALID, 876343112, 876343112,,UT,7,19,0
2022-03-31T11:25:27.440Z,2dae1fd1a6b7baa1a5120b39ae59fb7c7c159906d91cbd215404dabcc5b1a11b,Org1MSP,addEHR,863063867,Org1MSP Org2MSP ,VALID, 47687083 863063867, 47687083 863063867,,UT,7,18,0
2022-03-31T11:25:27.442Z,0a243a4e80fd836b69836f6e3aac7507944c1cb33f57770136eca832252b959d,Org1MSP,grantProfileAccess,118280816,Org1MSP Org2MSP ,VALID, 118280816, 118280816,,UT,7,17,0
2022-03-31T11:25:27.443Z,ac861cda8e8652689866f6b67287681766f7f5773ab0fbfc154cede02cbd66ca,Org1MSP,revokeProfileAccess,725472312,Org1MSP Org2MSP ,VALID, 725472312, 725472312,,UT,7,23,0
2022-03-31T11:25:27.446Z,f996232b98f34e4b26da78ac76a8e6cb597ba80d38f20bcfef803875c2287d42,Org1MSP,revokeProfileAccess,760364560,Org1MSP Org2MSP ,VALID, 760364560, 760364560,,UT,7,22,0
2022-03-31T11:25:27.446Z,2eb2bdc0965b977ec6fc3fc2e2cb7718c158a0c36d6ebdda1daab2eae4270a14,Org1MSP,revokeEHRAccess,601274211,Org1MSP Org2MSP ,VALID, 601274211 81441403, 601274211 81441403,,UT,7,24,0
2022-03-31T11:25:27.533Z,79c03ca748ea778d08b1b05856151269c584d96bd514b694702663720b93f5a9,Org1MSP,grantProfileAccess,532172116,Org1MSP Org2MSP ,VALID, 532172116, 532172116,,UT,7,30,0
2022-03-31T11:25:27.533Z,28cba99e079a5e9d4d99d9d0e7deac34a27448c80227bfda25eda0c70fc7cdcc,Org1MSP,grantProfileAccess,557108022,Org1MSP Org2MSP ,VALID, 557108022, 557108022,,UT,7,33,0
2022-03-31T11:25:27.535Z,9d9cdd3892056cc81192e3a01d732cbabb3cea65fdd7abcd8b697af10762206d,Org1MSP,grantProfileAccess,712057550,Org1MSP Org2MSP ,VALID, 712057550, 712057550,,UT,7,31,0
2022-03-31T11:25:27.536Z,7fa15bb93d99a908fcfc1fcf87d69342a74cfab8517831f5573952e647c69c99,Org1MSP,revokeProfileAccess,481346270,Org1MSP Org2MSP ,VALID, 481346270, 481346270,,UT,7,28,0
2022-03-31T11:25:27.536Z,c8f9a78c633c029830903fc17e054603cfd6f298e902d7665b5e05669409952b,Org1MSP,addEHR,118280816,Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 11811282 118280816, 11811282 118280816,,UT,7,35,0
2022-03-31T11:25:27.538Z,c6b906779871147c2c9d4e416341c7d6f3805124ab759a0a794fc1c8edb067a3,Org1MSP,grantEHRAccess,705758410,Org1MSP Org2MSP ,VALID, 55360017 705758410, 55360017 705758410,,UT,7,32,0
2022-03-31T11:25:27.539Z,9ad60fe57976397120983e5e8be5131d1df321ada4313c9a91bd17d8f64e7f46,Org1MSP,grantProfileAccess,548312128,Org1MSP Org2MSP ,VALID, 548312128, 548312128,,UT,7,27,0
2022-03-31T11:25:27.540Z,7c32b560b15e793cae32a9eff8dbaf8b415037cc43c1844fbc28b7753b33bd91,Org1MSP,revokeProfileAccess,006304822,Org1MSP Org2MSP ,VALID, 006304822, 006304822,,UT,7,36,0
2022-03-31T11:25:27.541Z,c806aafe72ce340eb5ad939be6dfc17fce0378e99f9b65972f16798b097c9859,Org1MSP,grantProfileAccess,342235558,Org1MSP Org2MSP ,VALID, 342235558, 342235558,,UT,7,29,0
2022-03-31T11:25:27.543Z,ef2fdddfa85c8d0fa7b25361e5aa4d6c1428b0dd873579d2465ccb5a47e93008,Org1MSP,grantEHRAccess,351248101,Org1MSP Org2MSP ,VALID, 351248101 72010564, 351248101 72010564,,UT,7,34,0
