timestamp,tx_id,creatorid,activity_name,function_args,endorsers_id,tx_status,readkeys,writekeys,rangekeys,transaction_type,block number,commit order,0
2022-03-31T09:31:00.492Z,c250346919aab81d4f5b6e6026b2bfeff1d174a9dc878f1cb72c88ff3264d10a,Org1MSP,revokeProfileAccess,712057550,Org1MSP Org2MSP ,VALID, 712057550, 712057550,,UT,6,26,0
2022-03-31T09:31:00.492Z,d95b2d6f4b8ed9fd403809bda534a02df77692b509cef53479a2887927966a05,Org1MSP,revokeEHRAccess,011835076,Org1MSP Org2MSP ,VALID, 011835076 82688566, 011835076 82688566,,UT,6,53,0
2022-03-31T09:31:00.493Z,02807141720788911935fe960cde2078e361aae43c6e46cef88ceeb994d41769,Org1MSP,viewEHR,00364640,Org1MSP Org2MSP ,VALID, 00364640,,,RT,6,18,0
2022-03-31T09:31:00.493Z,06dcb8c593cbbc0651b2a85151c73882628e55da9f442ed797d80575e4bcee7d,Org1MSP,readProfile,118761772,Org1MSP Org2MSP ,VALID, 118761772,,,RT,6,20,0
2022-03-31T09:31:00.493Z,ca6a4e72ce20dbf383d79348b57da321faf4ab2c883010117f444a36814cdcbf,Org1MSP,revokeProfileAccess,876357541,Org1MSP Org2MSP ,VALID, 876357541, 876357541,,UT,6,33,0
2022-03-31T09:31:00.494Z,741f3d73b29a91a9bd49ad3bff963df69446dd5ab2f6f8d15a1bb1fe18088632,Org1MSP,viewPartialProfile,816601315,Org1MSP Org2MSP ,VALID, 816601315,,,RT,6,21,0
2022-03-31T09:31:00.494Z,f3452678df4edb0688947542dab872198b1e2e1d6d2e0c6a5325a9255deade07,Org1MSP,grantProfileAccess,577458185,Org1MSP Org2MSP ,VALID, 577458185, 577458185,,UT,6,39,0
2022-03-31T09:31:00.495Z,ad42ec63085570d9910cc52f0cfa63820e9721cbbf7edd263ff1e6e32cbc15e5,Org1MSP,revokeEHRAccess,351248101,Org1MSP Org2MSP ,VALID, 351248101 72010564, 351248101 72010564,,UT,6,65,0
2022-03-31T09:31:00.507Z,d0c14e38a5d746f7eb1b858893bec5696e2fa0b015b4cb8fbbc9bb8cbcb3f7f3,Org1MSP,readProfile,362405166,Org1MSP Org2MSP ,VALID, 362405166,,,RT,6,24,0
2022-03-31T09:31:00.511Z,d4efac39f6e174b1c375959625955b4deb737715db1cb8dc560b1ce91d8a3f69,Org1MSP,revokeEHRAccess,428447247,Org1MSP Org2MSP ,VALID, 18743443 428447247, 18743443 428447247,,UT,6,74,0
2022-03-31T09:31:00.516Z,980f57ea19623ace4dc01d936b351900bb1db6003f2969f430c9b45d8f3c9c9a,Org1MSP,viewEHR,34506872,Org1MSP Org2MSP ,VALID, 34506872,,,RT,6,22,0
2022-03-31T09:31:00.518Z,77fbc95ed0995381550ffcd45b4abf43167da974385c43360c12f4de0fae7742,Org1MSP,revokeEHRAccess,342235558,Org1MSP Org2MSP ,VALID, 16205480 342235558, 16205480 342235558,,UT,6,73,0
2022-03-31T09:31:00.520Z,7da1c30bf2404d632569c22c57981e22805ac974123a7b896ef151b6cfcbae86,Org1MSP,revokeProfileAccess,577458185,Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 577458185, 577458185,,UT,6,40,0
2022-03-31T09:31:00.521Z,88aac3221fb43c3f3b3b35a9f901a2a3e865f4474c6df13974343ec3c5f4070f,Org1MSP,viewEHR,25631500,Org1MSP Org2MSP ,VALID, 25631500,,,RT,6,19,0
2022-03-31T09:31:00.522Z,e639b7b87c1bbd5402ddc72243778d4435249ed9d4083cb2f09f73866c685ea4,Org1MSP,viewPartialProfile,101725501,Org1MSP Org2MSP ,VALID, 101725501,,,RT,6,25,0
2022-03-31T09:31:00.522Z,71de219dbe2ed74a3d601a4d69eb7a28a90fc9c270c1d4d1896dd2058740e225,Org1MSP,addEHR,574422363,Org1MSP Org2MSP ,VALID, 574422363 77011204, 574422363 77011204,,UT,6,77,0
